"chromosome"	"start.pos"	"end.pos"	"Bf"	"N.BAF"	"sd.BAF"	"depth.ratio"	"N.ratio"	"sd.ratio"	"CNt"	"A"	"B"	"LPP"
"chr1"	148023489	148337418	0.138261330221495	35	0.104758770515886	1.18162095966617	1968	0.494993916654795	6	5	1	-7.14138203931019
"chr1"	148342066	148881337	0.294054059469505	54	0.122360820976867	1.18281935176974	1084	0.497410783650052	3	2	1	-6.82588505314739
"chr1"	148893912	149398771	0.20438355507436	99	0.106668147021267	1.3097346686907	3620	0.562707501940766	5	4	1	-6.87180980444941
"chr1"	149553054	247363190	0.33995561250656	3262	0.0808386922410568	1.16051738463274	348022	0.378999632944244	3	2	1	-6.86810030536365
"chr1"	247375860	249211619	0.369894894081928	185	0.0781707270878493	1.05734869641057	8019	0.315146601524985	3	2	1	-6.94016500740951
"chr1"	249214223	249231026	0.222681588384576	14	0.0350482399112869	1.52340347665932	33	0.26289959124304	5	4	1	-6.77146800397197
"chr2"	38938	1983374	0.412003173404037	63	0.102281938689482	0.783841295088006	3731	0.236496259464432	2	1	1	-6.77206975495497
"chr2"	1983395	3192798	0.184064484952192	9	0.102300347561047	0.753074698698825	173	0.42695807397808	2	2	0	-7.58360715501382
"chr2"	3196040	33953013	0.436047649854852	654	0.0693136418706329	0.809305907123374	70181	0.256903492150478	2	1	1	-6.86705840610813
"chr2"	34064980	34902453	0.263105624813856	24	0.0625936978815979	0.866269628024446	96	0.255010422688612	3	2	1	-8.2375728377966
"chr2"	35444392	87371339	0.429269793291856	886	0.0711709828227751	0.813672089042919	101317	0.272972870115745	2	1	1	-6.80199702288212
"chr2"	87377477	87655765	0.332594010599279	97	0.135246408696468	0.917264840931657	1356	0.401143253138554	3	2	1	-6.8022760845769
"chr2"	87655821	90418011	0.363027266224366	262	0.123851982530245	0.761013917481832	7591	0.230640030419173	2	1	1	-6.96652303455495
"chr2"	90418059	92029095	0.293111913776481	382	0.128540046126667	1.02028866055099	4026	0.650749569258795	3	2	1	-6.86955629900723
"chr2"	92029152	92241709	0.378867367908606	91	0.100721888887664	0.868849695144764	484	0.397472736378176	2	1	1	-6.78300648081632
"chr2"	92281458	92311781	0.348547596262171	387	0.0979870261004493	0.551615370730465	2670	0.0869440055426498	2	1	1	-7.29265789075907
"chr2"	92311919	92312198	0.365115246339953	13	0.133871925016757	0.366126403586404	36	0.0483968630099756	2	1	1	-6.83752736032284
"chr2"	92312493	92325877	0.340495772290022	391	0.0986998518977628	0.558654603597975	3417	0.115961245565134	3	2	1	-7.05124589180918
"chr2"	95398764	97833583	0.385410926332293	254	0.0974833979157053	0.809666092329389	13410	0.249416110401991	2	1	1	-6.76526382096467
"chr2"	97833689	97858628	0.178092986295406	9	0.131445278009943	0.861599285608294	75	0.21962273139214	5	4	1	-6.96962726306241
"chr2"	97858632	132594052	0.413260659339413	854	0.0890385596439237	0.80181628186419	70044	0.258560176003736	2	1	1	-6.85773693203834
"chr2"	132769495	132912398	0.386907833258857	32	0.0778869114019932	1.02520128576858	242	0.344439588942757	2	1	1	-6.81002628678287
"chr2"	132914561	133025791	0.31079690616596	262	0.11685501961814	0.824862867143374	835	0.271353645841448	3	2	1	-6.89211500745618
"chr2"	133066879	162135434	0.433431384001716	405	0.0692841910693589	0.792474851490604	37941	0.26929028723547	2	1	1	-7.05034248302479
"chr2"	162135442	162138178	0.200420073002561	10	0.16856614263975	0.832744035244824	228	0.273953640826417	5	4	1	-6.75236614610679
"chr2"	162138214	243160790	0.433497262492666	2057	0.0707022468213378	0.803300231027492	210773	0.272695133149508	2	1	1	-7.02253250950238
"chr3"	417979	9970442	0.0493044946220416	119	0.0402399440587249	0.793611401091368	15273	0.235142444818827	2	2	0	-6.84069797589898
"chr3"	10088422	10264299	0.200623067650729	9	0.14879936155777	0.835250569667288	1258	0.269869571064215	2	2	0	-7.2561072765666
"chr3"	10268017	18582133	0.052644550123023	264	0.0428722509294536	0.798810626521971	23587	0.233382394951355	2	2	0	-6.78684497847484
"chr3"	18950809	19921184	0.396696397355647	9	0.151204331948526	0.805048574255939	791	0.184841673504084	2	1	1	-6.74024783439471
"chr3"	20012027	49720260	0.0550475066462392	606	0.0490779214076097	0.799111439629317	82930	0.233398246508817	2	2	0	-6.90648273393856
"chr3"	49722397	49896618	0.205813255172475	9	0.184647938280153	0.807315518710114	2876	0.20762466204352	2	2	0	-7.10681573971541
"chr3"	49897830	75591638	0.0526457471380875	498	0.0410609395846898	0.800446053926809	60519	0.242858737027585	2	2	0	-6.85642767776936
"chr3"	75679786	75692992	0.24486772168724	16	0.103072789813801	1.00518452031215	49	0.169688412429739	4	3	1	-6.80602432023439
"chr3"	75695972	75704589	0.410828197091859	21	0.0911786576949212	1.07615799156284	56	0.371474576571481	2	1	1	-6.7368072528908
"chr3"	75704598	75707553	0.24108422864695	9	0.116613082932882	1.25394615661885	19	0.172741127343848	4	3	1	-6.76041055577494
"chr3"	75707656	75781115	0.332254874006344	200	0.108733857000897	0.877955828164846	1107	0.246650533418336	3	2	1	-6.80181065300373
"chr3"	75785324	75786753	0.222000635964778	37	0.134558916843523	0.626090003414868	103	0.235351220583766	5	4	1	-6.75399291013108
"chr3"	75786832	75986858	0.292976170874831	56	0.115197141863444	0.781800352334597	276	0.304225829111886	3	2	1	-7.05597319537195
"chr3"	75986863	90494862	0.0717844433504317	95	0.0791912465329067	0.774094052575216	7059	0.250861524638191	2	2	0	-7.15217947951115
"chr3"	93768268	111966447	0.349130375354579	340	0.0809086999884388	1.12512420350127	31303	0.426765022220508	3	2	1	-6.87936322869035
"chr3"	111982074	127440083	0.443273017749683	617	0.0610062952467698	1.52122626290085	58460	0.584272709029148	4	2	2	-6.94309730989972
"chr3"	127440142	127888978	0.283388594083967	9	0.153991973095281	1.78897424422123	1839	0.439642379882975	4	3	1	-6.77126980135646
"chr3"	128081260	129303436	0.450850512420185	101	0.0585804296047175	1.5086822300204	8932	0.638444891890382	4	2	2	-7.0502726583183
"chr3"	129308169	130164149	0.282291072796672	11	0.215207468609838	1.5028298330295	2318	0.397571068260139	4	3	1	-6.73958329036411
"chr3"	130195917	133358765	0.436073679090834	107	0.101694403578926	1.49347640992543	11937	0.509416969164696	4	2	2	-6.78980309840088
"chr3"	133544676	139895087	0.396884773628046	104	0.109446424294669	1.82956102879958	18068	0.78836354732995	5	3	2	-6.74888666408116
"chr3"	140178485	181583323	0.443385794254351	475	0.0780513564225245	1.50521833255798	80128	0.583861451276978	4	2	2	-6.91109291308295
"chr3"	182178216	184826803	0.408056728055949	115	0.0866932614830884	1.84952518718382	19970	0.667588091283441	5	3	2	-6.77066337349649
"chr3"	184826820	184826970	0.132485788609446	9	0.0196814915875579	3.29539173251848	16	0.378210165340207	16	14	2	-6.73552710681099
"chr3"	184827365	188665722	0.402143922195431	128	0.0870017634335717	1.79473873971132	14239	0.650405918320481	5	3	2	-6.77128695323429
"chr3"	188707568	194478161	0.449265912293658	177	0.0652064995492147	1.5044221023423	12931	0.645312301612493	4	2	2	-6.97927287279841
"chr3"	194649523	195391157	0.306716943221996	83	0.13554961204625	2.32873142699355	3592	1.48873375067631	7	5	2	-6.74248784703212
"chr3"	195392877	195505932	0.366614523016586	138	0.108375701664665	2.31743051845916	2332	1.46842140677158	8	5	3	-6.73563697052959
"chr3"	195505944	197846927	0.338036593930217	340	0.118582644513153	2.11489373945598	19528	0.950320157072517	6	4	2	-6.7412416813924
"chr4"	51094	49093403	0.345266823688766	1170	0.0859204112445189	1.1511328094031	102078	0.400617857540045	3	2	1	-6.85936148283209
"chr4"	49093420	49659832	0.298652000789577	940	0.129893208329798	0.771044633110269	11574	0.275506522283211	2	1	1	-7.14071842969663
"chr4"	52664235	68214260	0.343646298471634	139	0.0902791474863276	1.13283366591134	17523	0.380162366567633	3	2	1	-6.84745605027555
"chr4"	68249090	68266227	0.301595511814553	49	0.108774008218625	0.809740700618689	466	0.222547684915998	3	2	1	-6.84651904379331
"chr4"	68266721	78987157	0.333249493071052	333	0.0883194088216237	1.14065502676674	33398	0.446820583522685	3	2	1	-6.78027303302896
"chr4"	78987284	83626382	0.427676997719128	132	0.0636221328805777	0.810021308017954	8181	0.240703705089914	2	1	1	-6.79926926423257
"chr4"	83742336	189663354	0.33814198007152	1536	0.0852270525531819	1.15028705636749	168723	0.437066845884829	3	2	1	-6.97120207880954
"chr4"	190155006	190906080	0.347187117872242	157	0.121910014725403	1.05473586364561	1326	0.432960774778335	3	2	1	-6.76493032527935
"chr4"	190906096	191036388	0.239197731528167	154	0.145610915915378	0.987833438274323	1699	0.415189006726478	4	3	1	-6.84119969223854
"chr5"	143571	5437380	0.366920764648267	205	0.107965787795439	1.01564549524408	13768	0.345333186153526	3	2	1	-7.32104673263636
"chr5"	5443179	5955027	0.182306013953842	11	0.13983509768815	0.959383743925316	719	0.293120771540604	2	2	0	-7.2793097015153
"chr5"	6337241	45260537	0.383414578725371	629	0.0846901385463532	1.01856849386181	58210	0.358312255529345	3	2	1	-9.42346451877675
"chr5"	46323590	46327619	0.304455124137583	29	0.134638029600772	0.709800773888501	110	0.149186864984499	3	2	1	-6.80883646797636
"chr5"	49405844	49535067	0.271016078867913	69	0.128690169968601	0.62586704945164	680	0.219105845772427	2	1	1	-7.45275468679234
"chr5"	49694143	180751660	0.384415035261736	2767	0.0783092909660052	1.033165953558	290014	0.340786635806762	3	2	1	-11.7803324008844
"chr6"	138210	335424	0.253147103929759	10	0.189893215606386	0.848798240598052	273	0.333652174366336	3	2	1	-6.97755294145892
"chr6"	347888	397013	0.434561673368656	13	0.141242426617936	0.764899878192594	439	0.18302016908711	2	1	1	-6.75945431974663
"chr6"	397290	601200	0.0383629390379152	18	0.0312428815421821	0.794291958636148	868	0.206118599004738	2	2	0	-6.91086725772811
"chr6"	601269	1054102	0.0950443575065947	9	0.197945980285307	0.763603708719501	307	0.327810501305778	2	2	0	-6.76882422251018
"chr6"	1101323	26453085	0.0524186351250617	570	0.0383622481733476	0.811245832413979	45559	0.265174911109352	2	2	0	-6.75172098994264
"chr6"	26637331	27162913	0.180213006481742	13	0.101733689551415	0.803179079408652	676	0.249878287738019	2	2	0	-7.52306067593273
"chr6"	27279852	27706180	0.0480252088690703	26	0.0386266747209749	0.754584429375889	867	0.236270756245595	2	2	0	-6.78511726823329
"chr6"	27750741	27979625	0.122469516466497	9	0.16676138974928	0.782813237474912	1311	0.204654769585881	2	2	0	-6.83458928266182
"chr6"	28060398	31921614	0.0439685748478068	75	0.0424554965721659	0.833170368914169	14048	0.383094449403205	2	2	0	-6.78231873967806
"chr6"	31959714	33035974	0.217828383740134	9	0.189702911006775	0.77914757358516	3820	0.45809012702513	2	2	0	-7.15028820296801
"chr6"	33035980	35749059	0.0452890478538967	143	0.0469775466022133	0.823225091471075	13183	0.277512844955689	2	2	0	-6.76211609636104
"chr6"	35755658	35765177	0.454398179880518	11	0.0371116252308185	1.11862706103579	182	0.240663352591444	2	1	1	-7.58408383644823
"chr6"	36100669	40359744	0.0587491621219732	160	0.0589958794931461	0.795195438004406	14876	0.23549097960783	2	2	0	-6.77144769880936
"chr6"	40360755	40705941	0.192995564070371	9	0.148974084248831	0.788236944420258	136	0.263991068934394	2	2	0	-7.20904408913899
"chr6"	40998167	57074911	0.0577599781598143	545	0.0504321784938036	0.799779411928524	51159	0.244389291565863	2	2	0	-6.8150502912285
"chr6"	57244672	57398047	0.389601889728316	55	0.0976447212218438	0.841105822827365	206	0.233153420619916	2	1	1	-6.75372725854728
"chr6"	57398081	57595950	0.329353229868445	144	0.108078318282035	0.964449622424998	561	0.355703629267687	3	2	1	-6.78055631563325
"chr6"	57595963	58779097	0.239094536152151	9	0.181794603269123	0.446636183369576	1015	0.2154797087937	1	1	0	-7.07088743372834
"chr6"	61898549	61914401	0.332375861543883	54	0.0908905951104118	0.679455689218778	428	0.199432396581153	3	2	1	-6.81298720979994
"chr6"	62390916	64708907	0.0643179327650922	12	0.0470173243377246	0.764067269691392	2074	0.1928588918012	2	2	0	-6.92312120411078
"chr6"	65301504	66015153	0.246777762344645	9	0.175440239904583	0.853369348030418	644	0.216964423247346	2	1	1	-7.21307301914282
"chr6"	66016159	116773400	0.0560046150701854	680	0.0481665145597807	0.813618116364993	72742	0.279110459189656	2	2	0	-6.74433113569768
"chr6"	116774259	116782734	0.244276751339257	9	0.143472219533183	0.901246441717212	82	0.261023024119994	4	3	1	-6.7669753221564
"chr6"	116783330	128324241	0.0527632282901798	141	0.0396501315012301	0.796895396879962	17595	0.279643962438886	2	2	0	-6.79576775193998
"chr6"	128403745	129601062	0.292974133864869	9	0.174578142325372	0.765715147163624	1124	0.199490562548395	2	1	1	-7.05713593375689
"chr6"	129619059	131505686	0.0416776698770977	24	0.0432109755247102	0.796887950806242	3508	0.252419472735625	2	2	0	-6.80594499473121
"chr6"	131979652	132030195	0.247215477879415	9	0.192375573062463	0.76374367340201	371	0.279152197710162	4	3	1	-6.92560353019126
"chr6"	132030966	136472496	0.051892835983644	108	0.0463354250706335	0.791123095445724	8934	0.235620428067648	2	2	0	-6.78975760820719
"chr6"	136582497	136943884	0.397253546611781	9	0.130903059976118	0.82595969381138	1274	0.28894901366043	2	1	1	-6.73672232189951
"chr6"	136977568	157731596	0.0590247283060666	408	0.0475403812551179	0.80581314737794	38281	0.269291758394421	2	2	0	-6.77473802939864
"chr6"	157731601	157731824	0.324438624360831	11	0.129964470669347	1.65612912787854	99	0.356237795488705	19	13	6	-6.73722726765728
"chr6"	157731857	157735374	0.311454443571001	21	0.120976817928851	0.670144687999168	176	0.125189242722793	3	2	1	-6.81549699828178
"chr6"	157744588	160131920	0.0514129003815403	113	0.040003810264162	0.808581790243765	7326	0.288379066920172	2	2	0	-6.74160123747729
"chr6"	160132221	160132822	0.346510793098174	13	0.0881364036084162	1.01491016219672	87	0.126095266785873	3	2	1	-6.73475894477841
"chr6"	160133449	167275895	0.0713824134491968	158	0.0882438490816772	0.792837743148542	12730	0.268325945783635	2	2	0	-6.80992631853529
"chr6"	167411115	167621890	0.318232839665887	27	0.134203920612225	0.82435249962333	1257	0.237907216680982	2	1	1	-6.98579071839408
"chr6"	167704622	168371755	0.13794931450809	54	0.127966743419467	0.785443193077234	2451	0.230388104344536	2	2	0	-6.98470028493993
"chr6"	168376847	168377220	0.385810146493318	10	0.0908674859341888	0.886151597782337	44	0.257796771654897	5	3	2	-6.73519396370773
"chr6"	168377309	171054647	0.0852542891745192	59	0.114590884100254	0.795134362694718	5445	0.252054716801946	2	2	0	-6.79345359209896
"chr7"	159843	51459881	0.429647388670867	1534	0.0770582075045631	0.807655150138829	109432	0.25608921957384	2	1	1	-6.85862081150471
"chr7"	51459887	51459989	0.196744173416242	9	0.0854663676541831	1.17938012408804	13	0.156908474056595	16	13	3	-6.74073593996344
"chr7"	53070750	53934276	0.444705865972355	17	0.0430201731065514	0.78243978715788	510	0.216507469204349	2	1	1	-7.17971819524143
"chr7"	54487072	54487217	0.11724097898766	18	0.0292188608618707	1.17920610034441	22	0.296389752321812	18	16	2	-6.7360533950233
"chr7"	54609820	57679789	0.396231357273534	290	0.109926129593045	0.810628316539081	9601	0.283169429917383	2	1	1	-6.74085681177324
"chr7"	57679852	57886104	0.315330890077603	198	0.121896748562697	0.951085715294153	643	0.316006044587428	3	2	1	-6.82081663102802
"chr7"	57886329	57896680	0.30968588193698	41	0.134681774891055	0.548211191168748	85	0.151880843941237	3	2	1	-6.92343573689983
"chr7"	57896905	57905597	0.328731800645461	74	0.110446255783129	0.958149274494848	211	0.337219020846634	3	2	1	-6.74444808593239
"chr7"	57905772	57997373	0.246960976135973	50	0.120439799510471	0.604638929896361	390	0.183939169905602	1	1	0	-7.6488769383938
"chr7"	61083386	61083450	0.438199421266155	9	0.119016222050236	0.317843330694457	24	0.0343738767932438	2	1	1	-6.80241172821077
"chr7"	61083463	62471357	0.302493034359216	103	0.134637352313953	0.560091614173202	1429	0.264441486711797	1	1	0	-8.34005792987711
"chr7"	62548420	100487520	0.42106624296982	898	0.0891905574514827	0.818536618608947	90868	0.268090128729829	2	1	1	-6.74767492539442
"chr7"	100547238	100554779	0.352622394847346	197	0.0801849123582197	0.784709799710553	1030	0.103026595313084	3	2	1	-6.81314908044419
"chr7"	100554788	100608180	0.266591089471918	33	0.0989555972508515	0.828118016332732	140	0.183031332436959	4	3	1	-7.08450371717602
"chr7"	100608247	141750472	0.425873183933324	957	0.0769091358820255	0.802002908188362	92380	0.25903328025641	2	1	1	-6.90837299396703
"chr7"	141759956	142211193	0.37128062945352	153	0.0776907110099231	0.763288995106597	3691	0.202473184001349	2	1	1	-6.88996548970277
"chr7"	142231455	142247757	0.245259809737076	37	0.0789479624865695	0.725512440531298	227	0.149449797650766	4	3	1	-7.01041180047639
"chr7"	142251190	142475557	0.34364972523115	138	0.100922116065086	0.769014855621657	1110	0.22328177670537	2	1	1	-6.97212268313474
"chr7"	142498673	152100365	0.411626767263782	321	0.0831400850037073	0.794907466696351	31915	0.228370951002393	2	1	1	-6.82395946806593
"chr7"	152100370	152110843	0.273673733323496	66	0.14875251344569	1.28894697756542	249	0.584556946898793	4	3	1	-6.7357576502712
"chr7"	152111070	158387973	0.420633084265126	230	0.100628284881765	0.819670688138921	10149	0.285313771761804	2	1	1	-6.74392662369038
"chr7"	158413324	158835804	0.425675187039018	93	0.0911023267600448	0.813312805023172	2521	0.292181254104789	2	1	1	-6.75775297679197
"chr8"	148241	608995	0.0731012610301009	32	0.0827951160999246	0.880072126588865	1118	0.280448821241031	2	2	0	-6.77876355480139
"chr8"	609051	609879	0.312124930538926	9	0.150143079908614	1.25528442578266	121	0.220811932431498	10	7	3	-6.74676112643776
"chr8"	609880	1791685	0.047799501947171	44	0.0381215578281811	0.849133055412148	1948	0.229691885161932	2	2	0	-6.77612865189829
"chr8"	1792547	1808639	0.153819501173313	11	0.148145260409566	0.986893010841122	64	0.473600476885686	7	6	1	-6.77444705223059
"chr8"	1814737	7215484	0.0526862868052947	140	0.0538319852043191	0.855117209556392	6345	0.31537402208728	2	2	0	-6.7981677011455
"chr8"	7260076	7398339	0.290772795124257	35	0.133222313723901	1.03165429557667	1330	0.278172469359764	3	2	1	-6.84214639455955
"chr8"	7398650	7637435	0.119498401713694	39	0.151135593462745	1.13526303235547	996	0.518619481021036	2	2	0	-6.89540813218865
"chr8"	7637746	7885406	0.305082896990682	26	0.113167547672263	1.03253537956441	1471	0.352764372695052	3	2	1	-6.81988293794272
"chr8"	7886901	11970688	0.0735741431118064	115	0.0660261464978666	0.87959675675174	9400	0.273487958412605	2	2	0	-6.94555360316149
"chr8"	11995062	12052177	0.327212476105372	10	0.120124009997077	1.05655163343685	165	0.45637195730526	3	2	1	-6.74488471298666
"chr8"	12236652	36790339	0.0495235501937325	608	0.0527068408671979	0.872785517373259	53412	0.288403607314237	2	2	0	-7.40575129227228
"chr8"	37089066	38368752	0.446011309190467	52	0.0567939038217326	1.63300913369338	9186	0.535500993935357	4	2	2	-7.00916985332952
"chr8"	38458109	43056513	0.315909009034218	141	0.0866347788347655	1.23854616859705	16316	0.454185202021273	3	2	1	-6.81836057393874
"chr8"	43092784	43825830	0.340086035480179	216	0.111750230216713	0.77122962846969	2539	0.439587898052387	2	1	1	-6.94975512230563
"chr8"	43826960	43838444	0.317080575856697	64	0.0974719014761739	0.861949825176871	759	0.234621013579646	3	2	1	-6.78622134724481
"chr8"	46839044	49158906	0.309417751469378	134	0.107002748588943	1.12346656052333	7231	0.479319112369494	3	2	1	-6.80565091606201
"chr8"	50265295	86561060	0.426645677169826	539	0.0869745287373755	1.54886222406169	63126	0.661503449094035	4	2	2	-6.76310042671395
"chr8"	86562583	86838757	0.240627836339344	42	0.142234017307543	1.49469019381834	3302	0.613002245271773	4	3	1	-6.75085483001398
"chr8"	87055718	107371924	0.435268261428367	316	0.0805239634517196	1.57113409889427	46619	0.630319071465336	4	2	2	-6.81311651615898
"chr8"	107512507	107512701	0.0618920512009753	11	0.0499101009998796	0.937598589974086	19	0.116174425223555	2	2	0	-6.74300746814633
"chr8"	107602279	144140280	0.439454608424414	735	0.0876373692207755	1.5580510258008	65175	0.623013743281461	4	2	2	-6.81671317357075
"chr8"	144154471	144154550	0.152451625701615	9	0.141109098848295	1.37139561442036	23	0.220376842179867	7	6	1	-6.73374999712783
"chr8"	144162364	146171748	0.439106656534228	213	0.0853179668127898	1.49876427715979	25147	0.385096640983686	4	2	2	-6.82371048641522
"chr9"	12791	117696	0.319024024187503	9	0.0980854219545392	0.801372472661051	134	0.231257002368907	3	2	1	-6.9400936353427
"chr9"	213149	21696939	0.0547538946263251	319	0.0477434795290691	0.791184959751571	32598	0.283969647242691	2	2	0	-6.90565354333745
"chr9"	21816646	22154691	0.34532330555429	20	0.140212470351625	0.440919510609646	806	0.420536978674072	2	1	1	-7.25643750332211
"chr9"	22446751	33385603	0.0710815760104261	119	0.0915123024271243	0.792211825640134	10390	0.248819042488938	2	2	0	-6.85719361550399
"chr9"	33385863	33391611	0.299946307822813	21	0.0629205848669575	0.822899706143852	73	0.130664507309061	4	3	1	-6.99359471065692
"chr9"	33395424	33795298	0.0887332946135317	27	0.0864399895584896	0.795554252736859	1825	0.267190941642568	2	2	0	-6.82301870768956
"chr9"	33795311	33799304	0.336117063754468	54	0.091212555377867	0.791232062850611	272	0.163162252904087	3	2	1	-6.75048962866122
"chr9"	34086859	35237520	0.0661687141183707	47	0.0553101590218906	0.80485734422926	8012	0.20598425710003	2	2	0	-6.75952299708627
"chr9"	35295984	38610308	0.436650928496376	133	0.0639460480470365	0.798177562872803	15010	0.221957596385048	2	1	1	-6.88201452658957
"chr9"	39149855	47022743	0.312491516070567	273	0.132467433684118	0.818396074872802	5615	0.30084786278359	2	1	1	-7.02494346855844
"chr9"	65506522	66721330	0.333384092487484	276	0.121952991008053	0.830965422303524	1999	0.255036504267437	2	1	1	-6.94783470649614
"chr9"	66780356	67711032	0.336092154819913	172	0.120640955061205	0.613265110219914	1655	0.21477271163389	2	1	1	-7.80088229412067
"chr9"	67791157	68422552	0.296676308199185	399	0.125416581591306	0.885470326499431	1879	0.376101417668533	3	2	1	-7.02781761794478
"chr9"	68423906	68426222	0.284287252486626	33	0.144794845724856	0.553272616143588	123	0.193104716567745	4	3	1	-6.78293783188471
"chr9"	68426275	69385619	0.323744302916742	267	0.121372529991676	0.927777308470216	1482	0.553726589582943	3	2	1	-6.85555124545347
"chr9"	69441043	70177655	0.331928162246042	127	0.124594446718066	0.705738717256609	1567	0.378864269684714	2	1	1	-7.01064213319361
"chr9"	70327429	70327561	0.249019906674809	17	0.194907953388561	0.374208120884619	24	0.0429866005411798	4	3	1	-6.82201501888531
"chr9"	70362501	135961809	0.430424689309282	1820	0.0700504892211315	0.804192222389151	173611	0.250559626489074	2	1	1	-6.97468178881853
"chr9"	135962473	135962605	0.114263680384674	9	0.0810339435051757	0.734382871009224	13	0.0604416438202363	1	1	0	-6.7575162249654
"chr9"	135974079	141094152	0.413923461456711	505	0.0778826880077282	0.817700270066932	37296	0.233090054102355	2	1	1	-6.7375306772116
"chr10"	93603	38911874	0.42703476421277	977	0.0818343046499315	0.804448410209996	70675	0.279033816060173	2	1	1	-6.85043223405018
"chr10"	38930670	39137507	0.336676006234452	163	0.135786283240806	0.667661434863894	1345	0.347299815762516	2	1	1	-6.93271607654699
"chr10"	39137542	39154847	0.202369389786605	36	0.151228230756621	0.650207448578576	208	0.154228312421181	1	1	0	-7.05366111550393
"chr10"	42356100	42528126	0.347309892045371	516	0.120533996054482	0.734716944799383	8322	0.150346578729328	2	1	1	-6.92971502892409
"chr10"	42528146	42534720	0.358459523082335	100	0.101139219980094	0.573372518995149	856	0.0976352667155042	2	1	1	-6.9209225408259
"chr10"	42534946	42535544	0.25249111869643	31	0.126663316311096	0.837553994000319	135	0.0797775458821355	4	3	1	-6.75982468273033
"chr10"	42535605	42544659	0.267991179933353	95	0.123532490251821	0.642264459519926	535	0.246337472573264	4	3	1	-6.80171866119818
"chr10"	42546020	43013967	0.34680440581481	94	0.105815585406158	0.777865760356037	2674	0.250675436497331	2	1	1	-6.93355703954817
"chr10"	43014780	88988731	0.428224258517524	1167	0.0808809327960327	0.801907089620635	90071	0.253459801037824	2	1	1	-6.93819581793117
"chr10"	88992696	89127086	0.197569583241859	17	0.132086146131985	0.835159981487479	299	0.291566187989718	4	3	1	-7.22442900738688
"chr10"	89128288	127524612	0.434582789850403	1017	0.0721237799058015	0.807779144510991	110412	0.26407279596424	2	1	1	-6.87014975786549
"chr10"	127525072	127584770	0.28368942991744	18	0.122118138985497	0.761276802273634	447	0.374632277420245	4	3	1	-6.87273293687173
"chr10"	127584927	135465850	0.416333545572436	279	0.076668031845669	0.805347248844434	16906	0.23179971916905	2	1	1	-6.76286489630932
"chr10"	135473889	135524461	0.230503940189247	295	0.137962643225845	0.891303606008152	3568	0.452294229483127	4	3	1	-6.81460251175821
"chr11"	189683	194833	0.215641320758608	12	0.130289508635984	0.789547424602361	117	0.157404002153373	5	4	1	-6.82884668770851
"chr11"	219089	4675056	0.346785835623652	660	0.0830180420179928	1.15304399250377	33631	0.327676600511546	3	2	1	-6.74986343714142
"chr11"	4675784	50471936	0.341184646472531	1686	0.0761933399740947	1.13065835199419	126392	0.370555607039839	3	2	1	-7.10403057592252
"chr11"	50724719	50758280	0.257739118901206	26	0.138757829993898	0.601608017511297	114	0.366881995177392	4	3	1	-6.86498716398193
"chr11"	50758284	51593061	0.374048195750064	89	0.0979757049683489	0.758347477278735	3744	0.230866510537904	2	1	1	-6.85426830906773
"chr11"	55012534	125874158	0.346562213413308	2750	0.0813907403092569	1.15146483539143	280406	0.364137906158872	3	2	1	-6.94651517765765
